物件名,住所,最寄り駅,賃料
ＪＲ中央線 水道橋駅 14階建 築5年,東京都千代田区神田神保町１,['ＪＲ中央線/水道橋駅 歩5分\nＪＲ中央線/御茶ノ水駅 歩10分\n東京メトロ半蔵門線/神保町駅 歩5分'],12.8万円
東神田テラスレジデンス,東京都千代田区東神田１,['都営新宿線/岩本町駅 歩5分\nＪＲ山手線/秋葉原駅 歩9分\nＪＲ山手線/神田駅 歩11分'],14.2万円
レジディア神田,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩3分\n東京メトロ丸ノ内線/淡路町駅 歩4分\n都営新宿線/小川町駅 歩6分'],16.6万円
アーデン神保町,東京都千代田区神田小川町３,['都営三田線/神保町駅 歩3分\n都営新宿線/小川町駅 歩8分\nＪＲ総武線/御茶ノ水駅 歩11分'],20万円
LaSante一番町,東京都千代田区一番町,['東京メトロ半蔵門線/半蔵門駅 歩3分\n東京メトロ有楽町線/麹町駅 歩9分'],52万円
ライオンズ千代田三崎町,東京都千代田区神田三崎町３,['ＪＲ中央線/水道橋駅 歩3分\n都営大江戸線/飯田橋駅 歩9分\n東京メトロ東西線/九段下駅 歩9分'],17万円
ＪＲ山手線 神田駅 8階建 築8年,東京都千代田区神田紺屋町,['ＪＲ山手線/神田駅 歩3分\n東京メトロ銀座線/神田駅 歩3分\n都営新宿線/岩本町駅 歩6分'],18万円
ベルファース神田神保町,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ中央線/水道橋駅 歩8分\n東京メトロ丸ノ内線/御茶ノ水駅 歩12分'],14.8万円
ルフォンプログレ神田プレミア,東京都千代田区神田須田町１,['ＪＲ山手線/神田駅 歩4分\nＪＲ京浜東北線/秋葉原駅 歩7分\n東京メトロ丸ノ内線/淡路町駅 歩5分'],14.4万円
ＪＲ中央線 御茶ノ水駅 14階建 築7年,東京都千代田区神田駿河台２,['ＪＲ中央線/御茶ノ水駅 歩6分\n東京メトロ半蔵門線/神保町駅 歩11分\nＪＲ中央線/水道橋駅 歩8分'],16.9万円
東京メトロ半蔵門線 神保町駅 14階建 築6年,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ総武線/水道橋駅 歩9分\nＪＲ中央線/御茶ノ水駅 歩10分'],13.4万円
東京メトロ半蔵門線 半蔵門駅 地下1地上14階建 築10年,東京都千代田区平河町１,['東京メトロ半蔵門線/半蔵門駅 歩4分\n東京メトロ有楽町線/麹町駅 歩3分\nＪＲ総武線/四ツ谷駅 歩12分'],14.2万円
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,['ＪＲ山手線/秋葉原駅 歩5分\nＪＲ京浜東北線/神田駅 歩6分\n都営新宿線/岩本町駅 歩4分'],13.4万円
エルスタンザ神田須田町,東京都千代田区神田須田町１,['東京メトロ丸ノ内線/淡路町駅 歩3分\nＪＲ山手線/秋葉原駅 歩8分\nＪＲ山手線/神田駅 歩4分'],17.2万円
東京メトロ有楽町線 麹町駅 15階建 築11年,東京都千代田区平河町１,['東京メトロ有楽町線/麹町駅 歩2分\n東京メトロ半蔵門線/半蔵門駅 歩5分\n東京メトロ半蔵門線/永田町駅 歩5分'],14.5万円
パークアクシス御茶ノ水ヒルトップ,東京都千代田区神田駿河台２,['東京メトロ半蔵門線/神保町駅 歩11分\nＪＲ中央線/御茶ノ水駅 歩6分\nＪＲ中央線/水道橋駅 歩8分'],12.8万円
ＪＲ総武線快速 馬喰町駅 11階建 築4年,東京都千代田区岩本町１,['ＪＲ総武線快速/馬喰町駅 歩4分\n都営新宿線/岩本町駅 歩8分\n東京メトロ日比谷線/小伝馬町駅 歩6分'],12.6万円
ザ・パークハビオSOHO大手町,東京都千代田区内神田１,['東京メトロ丸ノ内線/淡路町駅 歩5分\nＪＲ山手線/神田駅 歩6分\n東京メトロ千代田線/大手町駅 歩7分'],14.5万円
プレミアムキューブ秋葉原,東京都千代田区神田佐久間町４,['都営浅草線/浅草橋駅 歩4分\nＪＲ山手線/秋葉原駅 歩6分\n都営新宿線/岩本町駅 歩10分'],12万円
パークハビオ飯田橋,東京都千代田区飯田橋２,['東京メトロ東西線/九段下駅 歩3分\n東京メトロ東西線/飯田橋駅 歩5分\n都営三田線/神保町駅 歩12分'],14.4万円
