物件名,販売価格,所在地,専有面積,間取り
アペニンハイム,3380万円,東京都中央区勝どき３-4-18,35.91m2（10.86坪）（登記）,1LDK
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲,36m2（壁芯）,1K+S（納戸）
浜町グランドハイツ,4180万円,東京都中央区日本橋中洲,36m2（10.88坪）（壁芯）,1K+S（納戸）
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,42.74m2（12.92坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町13-8,43.82m2（13.25坪）（壁芯）,1LDK
東銀座ロイアルハイツ,4500万円,東京都中央区築地４,30.8m2（9.31坪）（壁芯）,1DK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（13.93坪）（壁芯）,1LDK
アペニンハイム,5080万円,東京都中央区勝どき３-4-18,56.7m2（17.15坪）（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３-4-18,56.7m2（17.15坪）（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３,56.7m2（壁芯）,2LDK
T-Puente,5980万円,東京都中央区佃３-4-12,40.02m2（壁芯）,1LDK
レックス勝どきプレミアレジデンス,6080万円,東京都中央区勝どき４,43.12m2（壁芯）,1LDK+S（納戸）
オープンレジデンシア日本橋馬喰町,6280万円,東京都中央区日本橋馬喰町１,43.87m2,1LDK
グレーシア勝どき,6300万円,東京都中央区勝どき４,40.72m2（壁芯）,1LDK
グレーシア勝どき,6300万円,東京都中央区勝どき４,40.72m2（12.31坪）（壁芯）,1LDK
シティハイツ湊,6480万円,東京都中央区湊３,61.64m2（壁芯）,2LDK+S（納戸）
エクセレント三越前,6980万円,東京都中央区日本橋小舟町,37.21m2（壁芯）,1DK
ウィルローズ茅場町,6980万円,東京都中央区新川１,40.34m2（壁芯）,1LDK
パレ・ソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１-８-１０,43.34m2（13.11坪）（壁芯）,1LDK
晴海テラス,7480万円,東京都中央区晴海５-1-9,50.01m2（壁芯）,2LDK
クレヴィア日本橋,7830万円,東京都中央区日本橋蛎殻町１,38.22m2（壁芯）,1LDK
パークタワー晴海,7980万円,東京都中央区晴海２-2-42,43.92m2（壁芯）,1LDK
グリーンパーク八丁堀桜川公園,7980万円,東京都中央区八丁堀４,52.28m2（壁芯）,2LDK
ライオンズマンション月島,8000万円,東京都中央区月島２,62.53m2（壁芯）,1LDK+S（納戸）
築地駅1分「グリーンパーク銀座デ・プレ」築地Sele…,8280万円,東京都中央区築地２,55.29m2（壁芯）,1LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2,3LDK
ライオンズマンション月島,8598万円,東京都中央区月島２,56.32m2（壁芯）,2LDK
セザールリバーサイド中州,8680万円,東京都中央区日本橋中洲12-8,66.35m2（20.07坪）,2LDK+S（納戸）
パークタワー勝どきミッド,8780万円,東京都中央区勝どき４,30.07m2（壁芯）,1DK
シティフロントタワー,8780万円,東京都中央区佃１,60.28m2（壁芯）,2LDK
アスコットパーク東京八丁堀,8980万円,東京都中央区湊２,53.46m2（16.17坪）（壁芯）,2LDK
クレイス月島キャナルフロント,8980万円,東京都中央区月島２-3-9,61.23m2（18.52坪）,1LDK+S（納戸）
八丁堀アムフラット,9000万円,東京都中央区湊１,54.87m2（壁芯）,2LDK
ドマーニ人形町,9000万円,東京都中央区日本橋大伝馬町,56.98m2（壁芯）,2LDK
ソフィアタワー勝どき,9150万円,東京都中央区勝どき３-12-12,69.61m2（壁芯）,3LDK
グリーンパーク東日本橋,9250万円,東京都中央区東日本橋２,58.47m2,2LDK
ＧＲＥＥＮ　ＰＡＲＫ日本橋参番館,9480万円,東京都中央区日本橋大伝馬町,57.72m2（17.46坪）（登記）,2LDK
レゾンアレグレ,9480万円,東京都中央区湊３,54.11m2（壁芯）,2LDK
クレストシティレジデンス勝どき,9480万円,東京都中央区勝どき５,60.38m2（壁芯）,2LDK
オークプレイス月島,9480万円,東京都中央区月島３,50.55m2,2LDK
クレストシティレジデンス,9480万円,東京都中央区勝どき５-5-14,60.38m2（壁芯）,2LDK
グランシティ日本橋人形町,9980万円,東京都中央区日本橋人形町３,55.06m2（壁芯）,2LDK
プラネ勝どき,9980万円,東京都中央区勝どき５,69.02m2（壁芯）,3LDK
モア・クレスト築地,9990万円,東京都中央区築地６,56.21m2（壁芯）,2LDK
ドゥ・トゥール　イースト,1億円,東京都中央区晴海３-13-1,42.88m2（12.97坪）,2LDK
リビオ東京日本橋,1億230万円,東京都中央区日本橋茅場町２,50.01m2（壁芯）,2LDK
ザ・パークハウス晴海タワーズ ティアロレジデンス,1億480万円,東京都中央区晴海２,61.25m2（壁芯）,2LDK
スカイライトタワー,1億480万円,東京都中央区佃１,59.41m2（17.97坪）（壁芯）,2LDK
シティタワー銀座東,1億580万円,東京都中央区湊２-11-1,44.8m2（13.55坪）,1LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億980万円,東京都中央区晴海２,62.91m2（19.03坪）（壁芯）,2LDK
エルフコート日本橋浜町,1億1000万円,東京都中央区日本橋浜町１,64.1m2（壁芯）,2LDK
ウィルレーナ日本橋三越前,1億1200万円,東京都中央区日本橋小舟町,50.25m2（壁芯）,2LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２,40.19m2（壁芯）,1LDK
パークシティ中央湊ザタワー,1億1499万円,東京都中央区湊２,40.19m2（壁芯）,1LDK
勝どき　ザ・タワー,1億1500万円,東京都中央区勝どき５,58.98m2（壁芯）,1LDK+S（納戸）
スカイライトタワー,1億1500万円,東京都中央区佃１,72.7m2（21.99坪）（壁芯）,2LDK
グラーサ東京イースト,1億1798万円,東京都中央区新川２,68.82m2（壁芯）,2LDK+S（納戸）
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５-17,79.2m2（23.95坪）,2LDK
Brillia月島四丁目,1億1800万円,東京都中央区月島４,58.4m2（17.66坪）（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（壁芯）,2LDK
THE TOKYO TOWERS SEA TOWER,1億1800万円,東京都中央区勝どき６-3-1,63.07m2（壁芯）,2LDK
ザ・晴海レジデンス,1億1800万円,東京都中央区晴海５,79.2m2（壁芯）,2LDK
ベイサイドタワー晴海,1億1800万円,東京都中央区晴海３,66.24m2（壁芯）,3LDK
パークタワー勝どきミッド,1億2100万円,東京都中央区勝どき４-6-2,47.87m2（14.48坪）（登記）,1LDK
クレヴィア東京八丁堀　湊ザ・レジデンス,1億2480万円,東京都中央区湊３,58.46m2（壁芯）,2LDK
シティフロントタワー,1億2480万円,東京都中央区佃１-11-9,80.6m2（壁芯）,2LDK
コスモ東京ベイタワー,1億2580万円,東京都中央区勝どき５,84.67m2（25.61坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　ティアロレジデンス,1億2900万円,東京都中央区晴海２,64.55m2,2LDK
オーベル月島リバージュグラン,1億2980万円,東京都中央区月島３,71.98m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億2980万円,東京都中央区晴海２,67.18m2（20.32坪）（壁芯）,2LDK
ザ・パークハウス晴海タワーズティアロレジデンス,1億3480万円,東京都中央区晴海２,65.54m2,2LDK
ザ・パークハウス晴海タワーズ ティアロレジデンス,1億3500万円,東京都中央区晴海２-3-2,73.66m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズ ティアロレジデンス,1億3500万円,東京都中央区晴海２,73.07m2（22.10坪）（壁芯）,3LDK
晴海アイランドトリトンスクエアビュータワー,1億3600万円,東京都中央区晴海１-6-1,84.45m2（壁芯）,3LDK
クオリア日本橋浜町,1億3880万円,東京都中央区日本橋浜町２,66.9m2（壁芯）,2LDK
シティハウス東京八重洲通り,1億3900万円,東京都中央区新川２,67.88m2（壁芯）,3LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億4800万円,東京都中央区晴海２,71.27m2（21.55坪）（壁芯）,2LDK
MID TOWER GRAND ～都心においてひとき…,1億4800万円,東京都中央区月島１,61.99m2（18.75坪）（壁芯）,2LDK
晴海アイランドトリトンスクエアビュータワー,1億4800万円,東京都中央区晴海１-6-1,90.78m2（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｂ棟,1億4900万円,東京都中央区晴海５,72.88m2（壁芯）,3LDK
パークタワー勝どきサウス,1億4980万円,東京都中央区勝どき４-6-1,57.12m2（壁芯）,1LDK+S（納戸）
ザ・パークハウス月島ディアスタ,1億5000万円,東京都中央区月島２,79.29m2（壁芯）,2LDK
勝どきザ・タワー,1億5300万円,東京都中央区勝どき５,68.16m2,2LDK
THE TOKYO TOWERS MID TOWER,1億5300万円,東京都中央区勝どき６,65.14m2（壁芯）,1LDK+S（納戸）
パークタワー晴海,1億5480万円,東京都中央区晴海２-2-42,62.23m2（18.82坪）（壁芯）,2LDK+S（納戸）
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２-3-30,70.72m2（21.39坪）（壁芯）,3LDK
THE　TOKYO TOWERS　 MID　TOWE…,1億5800万円,東京都中央区勝どき６,80.23m2,2LDK
ザ・パークハウス晴海タワーズクロノレジデンス,1億5800万円,東京都中央区晴海２,70.72m2（21.39坪）（壁芯）,3LDK
