物件名,住所,最寄り駅,賃料
都営大江戸線 勝どき駅 地下1地上12階建 築17年,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩11分\n東京メトロ日比谷線/築地駅 歩19分'],16.7万円
イプセ日本橋,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ東西線/茅場町駅 歩5分\n東京メトロ日比谷線/人形町駅 歩8分'],15万円
リヴィェ日本橋,東京都中央区日本橋浜町１,['都営浅草線/東日本橋駅 歩4分\n都営新宿線/浜町駅 歩4分\n都営新宿線/馬喰横山駅 歩5分'],17万円
フェリシア日本橋人形町,東京都中央区日本橋人形町２,['都営新宿線/浜町駅 歩4分\n東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/馬喰横山駅 歩10分'],18.5万円
リベルテ月島,東京都中央区佃２,['東京メトロ有楽町線/月島駅 歩6分\nＪＲ京葉線/越中島駅 歩10分\n都営大江戸線/門前仲町駅 歩13分'],15.3万円
ザ・パークハビオ日本橋馬喰町,東京都中央区日本橋馬喰町２,['ＪＲ総武線快速/馬喰町駅 歩3分\nＪＲ総武線/浅草橋駅 歩4分\n都営新宿線/馬喰横山駅 歩8分'],17.9万円
フレンシア築地,東京都中央区築地６,['東京メトロ日比谷線/築地駅 歩5分\n東京メトロ有楽町線/新富町駅 歩9分\n都営浅草線/東銀座駅 歩10分'],32万円
ＪＲ総武線快速 馬喰町駅 11階建 築8年,東京都中央区日本橋小伝馬町,['ＪＲ総武線快速/馬喰町駅 歩3分\n東京メトロ日比谷線/小伝馬町駅 歩3分\n都営新宿線/馬喰横山駅 歩4分'],16.6万円
東京メトロ日比谷線 八丁堀駅 14階建 築5年,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分\n東京メトロ銀座線/京橋駅 歩7分'],21万円
ASPRIME八丁堀,東京都中央区八丁堀３,['ＪＲ京葉線/八丁堀駅 歩4分\n都営浅草線/宝町駅 歩4分\n東京メトロ銀座線/京橋駅 歩7分'],23.8万円
京橋レジデンス,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩5分\nＪＲ山手線/東京駅 歩9分\n東京メトロ銀座線/京橋駅 歩7分'],18.9万円
東京メトロ半蔵門線 水天宮前駅 11階建 築7年,東京都中央区日本橋箱崎町,['東京メトロ半蔵門線/水天宮前駅 歩5分\n東京メトロ日比谷線/茅場町駅 歩6分\n都営浅草線/人形町駅 歩12分'],19.7万円
XEBEC人形町exz（ジーベック人形町エグゼ）,東京都中央区日本橋小舟町,['東京メトロ日比谷線/人形町駅 歩4分\n東京メトロ銀座線/三越前駅 歩8分\n東京メトロ半蔵門線/水天宮前駅 歩8分'],12万円
東京メトロ日比谷線 八丁堀駅 14階建 築17年,東京都中央区八丁堀３,['東京メトロ日比谷線/八丁堀駅 歩3分\nＪＲ京葉線/八丁堀駅 歩3分\n都営浅草線/宝町駅 歩5分'],19万円
プライマル八丁堀,東京都中央区湊１,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ有楽町線/新富町駅 歩7分\n東京メトロ日比谷線/茅場町駅 歩9分'],17.9万円
東京メトロ日比谷線 人形町駅 10階建 築3年,東京都中央区日本橋人形町２,['東京メトロ日比谷線/人形町駅 歩5分\n東京メトロ半蔵門線/水天宮前駅 歩5分\n都営新宿線/浜町駅 歩5分'],18.5万円
アムス八丁堀I,東京都中央区新川２,['東京メトロ日比谷線/八丁堀駅 歩5分\n東京メトロ東西線/茅場町駅 歩9分\n東京メトロ半蔵門線/水天宮前駅 歩14分'],15.9万円
パークキューブ銀座イースト,東京都中央区湊３,['東京メトロ有楽町線/新富町駅 歩5分\n東京メトロ日比谷線/築地駅 歩8分\n都営浅草線/宝町駅 歩13分'],17.2万円
東京メトロ日比谷線 人形町駅 12階建 築2年,東京都中央区日本橋久松町,['東京メトロ日比谷線/人形町駅 歩5分\n都営浅草線/東日本橋駅 歩5分\n東京メトロ銀座線/三越前駅 歩15分'],20万円
ザ・パークハビオ人形町レジデンス,東京都中央区日本橋久松町,['東京メトロ日比谷線/人形町駅 歩5分\n都営新宿線/浜町駅 歩6分\n東京メトロ半蔵門線/水天宮前駅 歩10分'],20万円
