物件名,住所,最寄り駅,賃料,間取り,面積
グランヴィスタ神田練塀町,東京都千代田区神田練塀町,['ＪＲ総武線/秋葉原駅 歩3分\n東京メトロ銀座線/末広町駅 歩7分\n都営新宿線/岩本町駅 歩7分'],68万円,,
都営新宿線 岩本町駅 25階建 築7年,東京都千代田区神田東松下町,['都営新宿線/岩本町駅 歩1分\nＪＲ山手線/神田駅 歩5分\nＪＲ京浜東北線/秋葉原駅 歩5分'],33.5万円,,
リューズ・リバー月島,東京都中央区月島４,['東京メトロ有楽町線/月島駅 歩8分\n都営大江戸線/勝どき駅 歩8分\n東京メトロ日比谷線/築地駅 歩20分'],21.2万円,,
LUMICITY月島(ルミシテイ月島),東京都中央区月島４,['東京メトロ有楽町線/月島駅 歩4分\n都営大江戸線/勝どき駅 歩7分\nＪＲ京葉線/越中島駅 歩17分'],12.7万円,,
ディームス大手町ノース,東京都千代田区神田多町２,['ＪＲ山手線/神田駅 歩4分\n東京メトロ丸ノ内線/淡路町駅 歩6分\n都営新宿線/小川町駅 歩7分'],16.2万円,,
東京メトロ銀座線 神田駅 地下1地上12階建 築5年,東京都千代田区神田多町２,['東京メトロ銀座線/神田駅 歩4分\n東京メトロ丸ノ内線/大手町駅 歩10分\nＪＲ中央線/御茶ノ水駅 歩12分'],16.2万円,,
パークアクシス神保町,東京都千代田区神田神保町１,['東京メトロ半蔵門線/神保町駅 歩4分\nＪＲ中央線/水道橋駅 歩6分\nＪＲ総武線/御茶ノ水駅 歩11分'],15.8万円,,
パークタワー勝どきサウス,東京都中央区勝どき４,['都営大江戸線/勝どき駅 歩2分\n東京メトロ有楽町線/月島駅 歩12分\n東京メトロ日比谷線/築地駅 歩19分'],29.5万円,,
フリッシュ八重洲,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩5分\nＪＲ山手線/東京駅 歩11分'],23.4万円,,
東京メトロ日比谷線 八丁堀駅 10階建 築15年,東京都中央区八丁堀２,['東京メトロ日比谷線/八丁堀駅 歩3分\n東京メトロ日比谷線/茅場町駅 歩6分\n都営浅草線/宝町駅 歩8分'],23.4万円,,
アーバネックス日本橋水天宮,東京都中央区日本橋蛎殻町１,['東京メトロ半蔵門線/水天宮前駅 歩3分\n東京メトロ日比谷線/人形町駅 歩6分\n東京メトロ東西線/茅場町駅 歩6分'],22.4万円,,
パークアクシス日本橋浜町レジデンス,東京都中央区日本橋浜町１,['都営浅草線/東日本橋駅 歩5分\nＪＲ総武線快速/馬喰町駅 歩7分\n東京メトロ日比谷線/人形町駅 歩7分'],21.8万円,,
